,cod_departamento,ADM1_ES,percentage_of_households_with_access_to_garbage_collecting_services_clase,percentage_of_households_with_access_to_garbage_collecting_services_valor,percentage_of_households_with_access_to_garbage_collecting_services_vc_alc,percentage_of_households_with_access_to_electric_energy_services_clase,percentage_of_households_with_access_to_electric_energy_services_valor,percentage_of_households_with_access_to_electric_energy_services_vc_alc,percentage_of_households_with_access_to_natural_gas_services_clase,percentage_of_households_with_access_to_natural_gas_services_valor,percentage_of_households_with_access_to_natural_gas_services_vc_alc,percentage_of_households_with_access_to_sewer_services_clase,percentage_of_households_with_access_to_sewer_services_valor,percentage_of_households_with_access_to_sewer_services_vc_alc,percentage_of_households_with_access_to_water_services_clase,percentage_of_households_with_access_to_water_services_valor,percentage_of_households_with_access_to_water_services_vc_alc,percentage_of_households_with_access_to_internet_services_(home_or_mobile)_clase,percentage_of_households_with_access_to_internet_services_(home_or_mobile)_valor,percentage_of_households_with_access_to_internet_services_(home_or_mobile)_vc_alc,population_projections_total,population_projections_clase,literacy_of_people_15yrs_of_age+_clase,literacy_of_people_15yrs_of_age+_p_alfabeta,literacy_of_people_15yrs_of_age+_valor,illeteracy_of_people_15yrs_of_age+_clase,illeteracy_of_people_15yrs_of_age+_p_alfabeta,illeteracy_of_people_15yrs_of_age+_valor,masculity_and_femininity_index_clase,masculity_and_femininity_index_indice_feminidad,masculity_and_femininity_index_indice_masculinidad,dependency_index__clase,dependency_index__indice_depen_demo_60mas,dependency_index__indice_depen_demo_65mas,aging_index_clase,aging_index_indice_envejecimiento_60mas,aging_index_indice_envejecimiento_65mas,percentage_of_population_older_than_5yrs_old_attending_an_educational_institution_clase,percentage_of_population_older_than_5yrs_old_attending_an_educational_institution_pa_asistencia,percentage_of_population_older_than_5yrs_old_attending_an_educational_institution_valor,youth_index_clase,youth_index_indice_juventud,percentage_of_raizal_population_clase,percentage_of_raizal_population_pa1_grp_etnic,percentage_of_raizal_population_valor,percentage_of_indegenous_population_clase,percentage_of_indegenous_population_pa1_grp_etnic,percentage_of_indegenous_population_valor,percentage_of_black._mulato._afrodescendant._afrocolombian_population_clase,percentage_of_black._mulato._afrodescendant._afrocolombian_population_pa1_grp_etnic,percentage_of_black._mulato._afrodescendant._afrocolombian_population_valor,percentage_of_palenquero_population_clase,percentage_of_palenquero_population_pa1_grp_etnic,percentage_of_palenquero_population_valor,percentage_of_gypsy_or_rrom_population_clase,percentage_of_gypsy_or_rrom_population_pa1_grp_etnic,percentage_of_gypsy_or_rrom_population_valor,population_density_per_kilometer_squared_2018_clase,population_density_per_kilometer_squared_2018_pob_km,housing_deficit_clase,housing_deficit_deficit_cualitativo,housing_deficit_deficit_cuantitativo,housing_deficit_deficit_habitacional,quantitative_housing_deficit_tipo_de_vivienda,quantitative_housing_deficit_material_de_paredes,quantitative_housing_deficit_cohabitacion,quantitative_housing_deficit_haci_no_miti,quantitative_housing_deficit_clase,unmet_basic_needs_(nbi)_per_category_%_clase,unmet_basic_needs_(nbi)_per_category_%_hacinamiento,unmet_basic_needs_(nbi)_per_category_%_inasistencia,unmet_basic_needs_(nbi)_per_category_%_miseria,unmet_basic_needs_(nbi)_per_category_%_personas_nbi,unmet_basic_needs_(nbi)_per_category_%_servicios,unmet_basic_needs_(nbi)_per_category_%_vivienda,qualitative_housing_deficit_haci_miti,qualitative_housing_deficit_material_de_pisos,qualitative_housing_deficit_cocina,qualitative_housing_deficit_agua_para_cocinar,qualitative_housing_deficit_alcantarillado,qualitative_housing_deficit_energia,qualitative_housing_deficit_recoleccion_de_basuras,qualitative_housing_deficit_clase,multidimensional_poverty_index_analfabetismo,multidimensional_poverty_index_ba_ac_se_sa,multidimensional_poverty_index_baj_log_edu,multidimensional_poverty_index_bsp_cpi,multidimensional_poverty_index_clase,multidimensional_poverty_index_hacinamiento_critico,multidimensional_poverty_index_ina_eli_exc,multidimensional_poverty_index_inasistencia_escolar,multidimensional_poverty_index_ipm,multidimensional_poverty_index_ma_in_pa_ex,multidimensional_poverty_index_mat_ina_pis,multidimensional_poverty_index_rezago_escolar,multidimensional_poverty_index_si_ac_fu_ag,multidimensional_poverty_index_sin_ale_sal,multidimensional_poverty_index_trabajo_infantil,infant_mortality_rate_tasa,MEAN
0,0,Ninguno,,,,,,,,,,,,,,,,,,,49342198.6666667,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,4.06,1.91,3.74,14.13,3.58,5.31,,,,,,,,,,,,,,,,,,,,,,,,,
1,91,Amazonas,Total,50.31,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,77.51,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,1.93,Porcentaje de viviendas con acceso al servicio de gas natural,Total,33.98,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,38.66,Porcentaje de viviendas con acceso al servicio de acueducto,Total,5.11,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),77787.3333333333,Total,Total,Alfabetismo personas de 15 anos y mas,90.89,Total,Analfabetismo personas de 15 anos y mas,5.44,Total,91.9,108.81,Total,72.02,65.61,Total,18.48,12.11,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,65.26,Total,29.33,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.02,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,57.72,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.72,,,,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,0.57,Total,27.13,59.07,86.2,49.0,8961.0,560.0,1110.0,Total,Total,15.98,3.66,10.81,34.92,19.06,5.72,4515.0,651.0,2037.0,8967.0,6975.0,3247.0,5018.0,Total,12.0,1.5,59.6,13.7,Total,16.4,32.1,5.9,34.9,10.7,2.9,37.3,73.1,5.4,1.1,38.8,221.1426332288401
2,5,Antioquia,Total,88.99,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,98.8,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,61.8,Porcentaje de viviendas con acceso al servicio de gas natural,Total,82.62,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,90.06,Porcentaje de viviendas con acceso al servicio de acueducto,Total,52.11,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),6545079.33333333,Total,Total,Alfabetismo personas de 15 anos y mas,94.45,Total,Analfabetismo personas de 15 anos y mas,4.41,Total,107.07,93.4,Total,51.56,41.79,Total,72.54,49.49,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,66.14,Total,26.2,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.63,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,5.21,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,94.44,Total,22.08,6.59,28.67,1758.0,103525.0,16805.0,14536.0,Total,Total,2.73,1.71,2.48,10.67,1.89,3.53,213049.0,68040.0,72050.0,175863.0,209567.0,21537.0,122654.0,Total,8.9,3.7,46.4,7.1,Total,7.3,14.3,3.4,17.1,3.6,3.3,26.6,13.1,7.7,1.7,12.2,243.87531571927235
3,81,Arauca,Total,67.95,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,91.6,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,4.05,Porcentaje de viviendas con acceso al servicio de gas natural,Total,57.57,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,72.86,Porcentaje de viviendas con acceso al servicio de acueducto,Total,13.23,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),278829.666666667,Total,Total,Alfabetismo personas de 15 anos y mas,91.7,Total,Analfabetismo personas de 15 anos y mas,6.54,Total,97.84,102.21,Total,58.68,51.73,Total,30.92,20.7,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,64.14,Total,28.25,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.02,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,2.74,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,4.17,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,9.93,Total,24.67,33.87,58.53,340.0,23038.0,1765.0,1777.0,Total,Total,8.22,2.6,9.29,32.26,2.96,24.2,16173.0,15203.0,9501.0,5932.0,16023.0,5480.0,10431.0,Total,12.2,3.8,59.5,14.4,Total,12.3,16.7,6.6,31.8,15.4,19.2,32.0,11.7,19.2,2.3,19.7,240.06256273001003
4,88,Archipiélago de San Andrés. Providencia y Santa Catalina,Total,97.11,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,99.41,Porcentaje de viviendas con acceso al servicio de energia electrica,,,,Total,16.59,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,36.67,Porcentaje de viviendas con acceso al servicio de acueducto,Total,26.75,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),62484.6666666667,Total,Total,Alfabetismo personas de 15 anos y mas,97.26,Total,Analfabetismo personas de 15 anos y mas,1.21,Total,107.06,93.4,Total,50.68,40.84,Total,56.59,35.0,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,68.67,Total,24.15,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,42.1,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.04,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,13.52,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.02,,,,Total,967.82,Total,79.22,13.6,92.82,55.0,1889.0,74.0,274.0,Total,Total,3.55,1.86,1.09,14.84,9.4,0.8,2792.0,196.0,1889.0,11776.0,8824.0,93.0,5134.0,Total,1.5,2.1,28.8,10.5,Total,8.5,71.7,1.3,8.9,7.5,0.2,21.7,49.5,4.1,0.4,12.9,
5,8,Atlántico,Total,94.48,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,98.92,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,89.45,Porcentaje de viviendas con acceso al servicio de gas natural,Total,85.46,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,96.41,Porcentaje de viviendas con acceso al servicio de acueducto,Total,45.81,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),2631932.0,Total,Total,Alfabetismo personas de 15 anos y mas,95.3,Total,Analfabetismo personas de 15 anos y mas,3.61,Total,105.4,94.88,Total,56.58,47.49,Total,52.03,35.48,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,67.52,Total,26.13,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.02,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,1.67,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,5.93,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.04,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,704.65,Total,30.91,6.91,37.83,922.0,11195.0,17606.0,16975.0,Total,Total,4.01,2.92,2.16,11.28,1.49,2.16,130461.0,14921.0,30435.0,21662.0,78364.0,6664.0,42991.0,Total,7.8,10.6,32.2,12.6,Total,14.1,10.9,3.7,20.1,2.7,2.9,32.4,1.9,14.3,1.2,10.6,244.2270882887925
6,11,Bogotá. D.C.,Total,99.35,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,99.75,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,93.12,Porcentaje de viviendas con acceso al servicio de gas natural,Total,99.16,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,99.48,Porcentaje de viviendas con acceso al servicio de acueducto,Total,74.56,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),7583130.66666667,Total,Total,Alfabetismo personas de 15 anos y mas,96.72,Total,Analfabetismo personas de 15 anos y mas,1.29,Total,109.15,91.61,Total,46.54,37.81,Total,70.98,47.7,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,69.93,Total,26.9,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.27,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.91,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,4405.54,Total,10.21,3.86,14.06,1378.0,7803.0,79562.0,10683.0,Total,Total,1.35,1.01,0.24,3.36,0.1,0.36,202588.0,6443.0,17236.0,12327.0,56063.0,6010.0,14522.0,Total,1.6,1.1,19.1,11.1,Total,6.0,0.4,1.4,4.4,0.2,0.0,22.3,0.4,12.5,0.5,12.9,
7,13,Bolívar,Total,71.15,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,94.71,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,69.72,Porcentaje de viviendas con acceso al servicio de gas natural,Total,50.92,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,78.7,Porcentaje de viviendas con acceso al servicio de acueducto,Total,26.44,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),2127199.33333333,Total,Total,Alfabetismo personas de 15 anos y mas,91.38,Total,Analfabetismo personas de 15 anos y mas,7.7,Total,101.51,98.52,Total,62.83,53.77,Total,43.36,29.93,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,67.14,Total,26.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.03,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.27,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,16.49,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.21,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,71.24,Total,47.55,18.23,65.78,786.0,69017.0,18678.0,18689.0,Total,Total,4.68,3.15,8.02,26.56,9.55,13.16,136867.0,87781.0,70685.0,96078.0,200408.0,28296.0,142225.0,Total,17.3,8.3,47.9,10.4,Total,19.2,41.0,5.0,32.4,5.0,18.3,34.3,18.3,10.4,2.3,17.2,229.96778329197684
8,15,Boyacá,Total,64.13,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,97.13,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,51.78,Porcentaje de viviendas con acceso al servicio de gas natural,Total,63.22,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,85.52,Porcentaje de viviendas con acceso al servicio de acueducto,Total,24.59,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),1230339.0,Total,Total,Alfabetismo personas de 15 anos y mas,92.92,Total,Analfabetismo personas de 15 anos y mas,5.77,Total,103.14,96.96,Total,62.02,50.78,Total,71.55,50.92,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,71.94,Total,23.9,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.63,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.37,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,48.6,Total,29.6,5.64,35.24,333.0,16282.0,4067.0,1294.0,Total,Total,3.13,1.31,1.89,10.04,1.8,2.33,48115.0,28868.0,5778.0,49376.0,43569.0,9297.0,14510.0,Total,9.6,6.7,55.0,6.2,Total,5.6,7.1,1.9,16.6,0.3,5.2,30.1,15.9,7.6,2.2,15.1,260.8122296500197
9,17,Caldas,Total,81.91,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,98.72,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,62.78,Porcentaje de viviendas con acceso al servicio de gas natural,Total,81.24,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,88.75,Porcentaje de viviendas con acceso al servicio de acueducto,Total,42.7,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),1008350.66666667,Total,Total,Alfabetismo personas de 15 anos y mas,94.1,Total,Analfabetismo personas de 15 anos y mas,5.03,Total,106.36,94.02,Total,57.46,44.83,Total,97.0,67.11,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,68.25,Total,23.74,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,6.04,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,1.58,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,123.2,Total,23.34,6.39,29.73,235.0,16943.0,1640.0,1546.0,Total,Total,2.04,1.21,1.52,8.91,1.55,1.74,28875.0,5309.0,6522.0,31191.0,28821.0,3533.0,24925.0,Total,9.2,3.5,51.1,6.1,Total,5.3,7.5,2.0,15.3,1.5,0.8,26.9,12.4,9.9,2.0,13.0,250.83519244297057
10,18,Caquetá,Total,72.6,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,84.36,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,36.74,Porcentaje de viviendas con acceso al servicio de gas natural,Total,65.71,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,72.71,Porcentaje de viviendas con acceso al servicio de acueducto,Total,15.15,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),406170.666666667,Total,Total,Alfabetismo personas de 15 anos y mas,90.7,Total,Analfabetismo personas de 15 anos y mas,6.72,Total,97.17,102.91,Total,61.84,54.25,Total,32.94,22.37,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,64.3,Total,28.13,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,2.45,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,1.4,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,3.87,Total,20.52,33.27,53.79,546.0,36254.0,1694.0,1835.0,Total,Total,4.61,2.91,6.16,23.48,5.91,10.12,18666.0,11334.0,8387.0,25657.0,20903.0,17285.0,8303.0,Total,11.9,7.5,64.3,8.8,Total,9.0,12.1,7.4,28.7,9.9,6.2,37.0,26.1,7.1,3.7,19.3,237.12693898655635
11,85,Casanare,Total,78.91,Porcentaje de viviendas con acceso al servicio de recoleccion de basuras,Total,93.48,Porcentaje de viviendas con acceso al servicio de energia electrica,Total,74.94,Porcentaje de viviendas con acceso al servicio de gas natural,Total,73.1,Porcentaje de  viviendas con acceso al servicio de alcantarillado,Total,79.87,Porcentaje de viviendas con acceso al servicio de acueducto,Total,25.22,Porcentaje de viviendas con acceso al de servicio  internet (fijo o movil),428087.333333333,Total,Total,Alfabetismo personas de 15 anos y mas,93.73,Total,Analfabetismo personas de 15 anos y mas,4.89,Total,97.84,102.21,Total,54.05,47.31,Total,31.84,20.67,Total,Porcentaje de poblacion mayor de 5 anos que asiste a una institucion educativa,67.88,Total,27.49,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.01,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,1.81,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,1.6,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,Porcentaje de poblacion Negro. mulato.afrodescendiente. afrocolombiano,0.0,Total,8.44,Total,31.13,9.39,40.52,494.0,8338.0,2460.0,1558.0,Total,Total,5.95,1.6,3.6,15.89,1.33,7.0,22974.0,9068.0,7450.0,12837.0,11531.0,7892.0,7390.0,Total,8.2,7.9,51.5,9.1,Total,13.1,6.7,3.8,19.1,4.8,5.7,32.8,8.0,10.5,3.7,16.8,248.70205417196877
